,osmid,lanes,name,highway,maxspeed,oneway,length,geometry,ref,u,v,key
210,163844190,3,General Luna Street,tertiary,40,False,59.400999999999996,"LINESTRING (120.977647 14.5865657, 120.9775989 14.5866226, 120.9774485 14.5868003, 120.9772969 14.5869787)",,291714725,299399375,0
211,331769750,2,Cabildo Street,residential,40,False,74.601,"LINESTRING (120.9783857 14.5869457, 120.9779222 14.5874446)",,291715401,299399376,0
212,331769754,2,Muralla Street,unclassified,40,True,220.36700000000002,"LINESTRING (120.9783857 14.5869457, 120.9785116 14.5870524, 120.9785865 14.58713, 120.9786456 14.5872136, 120.9786697 14.5873373, 120.9787229 14.5878146, 120.9787665 14.5882966, 120.9788071 14.5888177)",,291715401,163725623,0
213,331769754,2,Muralla Street,unclassified,40,True,214.76799999999997,"LINESTRING (120.978876 14.5896117, 120.9789272 14.5898006, 120.9789444 14.5901195, 120.9789553 14.5903026, 120.978944 14.5903925, 120.9788371 14.5906081, 120.978573 14.5911886, 120.9784622 14.5914358)",,291715455,163756372,0
214,"[89432768, 333212365]",2,Victoria Street,unclassified,40,False,78.602,"LINESTRING (120.978876 14.5896117, 120.9787827 14.5896155, 120.9786077 14.5895565, 120.9784929 14.5895078, 120.97823 14.5893206)",,291715455,163715370,0
215,572614635,,Muralla Street,unclassified,40,True,143.995,"LINESTRING (120.9780025 14.5923024, 120.9780243 14.5923981, 120.9776783 14.5932037, 120.9775015 14.5934795)",,299397228,163723133,0
216,572614638,,Real Street,residential,30,False,117.222,"LINESTRING (120.9780025 14.5923024, 120.9777241 14.5920456, 120.9771932 14.5915971)",,299397228,163715985,0
217,27275568,2,,unclassified,,False,84.921,"LINESTRING (120.9772969 14.5869787, 120.9779222 14.5874446)",,299399375,299399376,0
218,163844190,3,General Luna Street,tertiary,40,False,59.400999999999996,"LINESTRING (120.9772969 14.5869787, 120.9774485 14.5868003, 120.9775989 14.5866226, 120.977647 14.5865657)",,299399375,291714725,0
219,794302981,2,General Luna Street,tertiary,40,False,136.0,"LINESTRING (120.9772969 14.5869787, 120.9770192 14.587292, 120.9764785 14.5879107)",,299399375,21638777,0
220,27275568,2,,unclassified,,False,84.921,"LINESTRING (120.9779222 14.5874446, 120.9772969 14.5869787)",,299399376,299399375,0
221,331769750,2,Cabildo Street,residential,40,False,74.601,"LINESTRING (120.9779222 14.5874446, 120.9783857 14.5869457)",,299399376,291715401,0
222,331769750,2,Cabildo Street,residential,40,False,45.564,"LINESTRING (120.9779222 14.5874446, 120.9776514 14.5877596)",,299399376,163725214,0
223,"[27109322, 843730835]",,"['Santa Lucia Street', 'Postigo Street']",unclassified,40,False,219.065,"LINESTRING (120.973116 14.5894997, 120.9728926 14.5898542, 120.9722718 14.5909011, 120.9725541 14.5911164)",,301287773,163735854,0
224,27109322,,Santa Lucia Street,unclassified,40,False,128.22,"LINESTRING (120.973116 14.5894997, 120.9732686 14.589283, 120.973819 14.5885689)",,301287773,163715977,0
